Article,Word,Plural,Translation,Category
,Deutschland,,Alemania,proper noun
die,Schweiz,,Suiza,proper noun
,Frankreich,,Francia,proper noun
,Österreich,,Austria,proper noun
,Russland,,Rusia,proper noun
,Spanien,,España,proper noun
,Italien,,Italia,proper noun
,England,,Inglaterra,proper noun
die,USA,,Estados Unidos,proper noun
,China,,China,proper noun
,Japan,,Japón,proper noun
,Indien,,India,proper noun
,Neuseeland,,Nueva Zelanda,proper noun
,Australien,,Australia,proper noun
,Ägypten,,Egipto,proper noun
,reich,,rico,adjective
das,Reich,Reiche,imperio / reino,noun
